transaction_id,timestamp,source_account,destination_account,amount,transaction_type,branch_id,channel,balance_after,reference_text
CBS-S30-00001,2026-08-10T00:09:00Z,3189,303198,86479.65,UPI,BR-001042,MOBILE_APP,13520.350000000006,Online payment
CBS-S30-00002,2026-08-10T00:18:00Z,203195,403201,24254.28,NEFT,BR-000102,NET_BANKING,75745.72,Invoice settlement
CBS-S30-00003,2026-08-10T00:31:00Z,303198,3189,52248.59,RTGS,BR-019200,NET_BANKING,47751.41,Salary credit
CBS-S30-00004,2026-08-10T00:55:00Z,403201,203195,80407.94,IMPS,BR-000003,ATM_KIOSK,19592.059999999998,UPI transfer
CBS-S30-00005,2026-08-10T01:05:00Z,3189,303198,12462.31,ATM,BR-001042,ATM_KIOSK,1058.0400000000063,Vendor payment
CBS-S30-00006,2026-08-10T01:24:00Z,203195,403201,70155.0,CHEQUE,BR-000102,ATM_KIOSK,5590.720000000001,EMI debit
CBS-S30-00007,2026-08-10T01:38:00Z,303198,3189,17360.16,UPI,BR-019200,MOBILE_APP,30391.250000000004,Refund credit
CBS-S30-00008,2026-08-10T01:49:00Z,403201,203195,32969.04,NEFT,BR-000003,NET_BANKING,0.0,Self-transfer
CBS-S30-00009,2026-08-10T02:08:00Z,3189,303198,58383.11,RTGS,BR-001042,NET_BANKING,0.0,Business advance
CBS-S30-00010,2026-08-10T02:21:00Z,203195,403201,26323.26,IMPS,BR-000102,ATM_KIOSK,0.0,Utility payment
CBS-S30-00011,2026-08-10T02:38:00Z,303198,3189,38082.59,ATM,BR-019200,ATM_KIOSK,0.0,Online payment
CBS-S30-00012,2026-08-10T02:50:00Z,403201,203195,31963.27,CHEQUE,BR-000003,ATM_KIOSK,0.0,Invoice settlement
CBS-S30-00013,2026-08-10T03:09:00Z,3189,303198,83070.74,UPI,BR-001042,MOBILE_APP,0.0,Salary credit
CBS-S30-00014,2026-08-10T03:23:00Z,203195,403201,48755.15,NEFT,BR-000102,NET_BANKING,0.0,UPI transfer
CBS-S30-00015,2026-08-10T03:37:00Z,303198,3189,25075.6,RTGS,BR-019200,NET_BANKING,0.0,Vendor payment
CBS-S30-00016,2026-08-10T03:52:00Z,403201,203195,1464.38,IMPS,BR-000003,ATM_KIOSK,0.0,EMI debit
CBS-S30-00017,2026-08-10T04:09:00Z,3189,303198,73345.62,ATM,BR-001042,ATM_KIOSK,0.0,Refund credit
CBS-S30-00018,2026-08-10T04:25:00Z,203195,403201,54989.26,CHEQUE,BR-000102,ATM_KIOSK,0.0,Self-transfer
CBS-S30-00019,2026-08-10T04:33:00Z,303198,3189,64887.94,UPI,BR-019200,MOBILE_APP,0.0,Business advance
CBS-S30-00020,2026-08-10T04:47:00Z,403201,203195,34829.31,NEFT,BR-000003,NET_BANKING,0.0,Utility payment
CBS-S30-00021,2026-08-10T05:08:00Z,3189,303198,21067.41,RTGS,BR-001042,NET_BANKING,0.0,Online payment
CBS-S30-00022,2026-08-10T05:17:00Z,203195,403201,7802.08,IMPS,BR-000102,ATM_KIOSK,0.0,Invoice settlement
CBS-S30-00023,2026-08-10T05:37:00Z,303198,3189,3999.16,ATM,BR-019200,ATM_KIOSK,0.0,Salary credit
CBS-S30-00024,2026-08-10T05:45:00Z,403201,203195,97475.21,CHEQUE,BR-000003,ATM_KIOSK,0.0,UPI transfer
CBS-S30-00025,2026-08-10T06:05:00Z,3189,303198,13593.69,UPI,BR-001042,MOBILE_APP,0.0,Vendor payment
CBS-S30-00026,2026-08-10T06:25:00Z,203195,403201,66130.21,NEFT,BR-000102,NET_BANKING,0.0,EMI debit
CBS-S30-00027,2026-08-10T06:39:00Z,303198,3189,77503.65,RTGS,BR-019200,NET_BANKING,0.0,Refund credit
CBS-S30-00028,2026-08-10T06:52:00Z,403201,203195,98531.63,IMPS,BR-000003,ATM_KIOSK,0.0,Self-transfer
CBS-S30-00029,2026-08-10T07:07:00Z,3189,303198,85453.65,ATM,BR-001042,ATM_KIOSK,0.0,Business advance
CBS-S30-00030,2026-08-10T07:22:00Z,203195,403201,22139.99,CHEQUE,BR-000102,ATM_KIOSK,0.0,Utility payment
CBS-S30-00031,2026-08-10T07:36:00Z,303198,3189,80994.6,UPI,BR-019200,MOBILE_APP,0.0,Online payment
CBS-S30-00032,2026-08-10T07:50:00Z,403201,203195,38323.72,NEFT,BR-000003,NET_BANKING,0.0,Invoice settlement
CBS-S30-00033,2026-08-10T08:06:00Z,3189,303198,77188.81,RTGS,BR-001042,NET_BANKING,0.0,Salary credit
CBS-S30-00034,2026-08-10T08:25:00Z,203195,403201,80650.26,IMPS,BR-000102,ATM_KIOSK,0.0,UPI transfer
CBS-S30-00035,2026-08-10T08:36:00Z,303198,3189,27850.04,ATM,BR-019200,ATM_KIOSK,0.0,Vendor payment
CBS-S30-00036,2026-08-10T08:53:00Z,403201,203195,61613.34,CHEQUE,BR-000003,ATM_KIOSK,0.0,EMI debit
CBS-S30-00037,2026-08-10T09:06:00Z,3189,303198,46099.27,UPI,BR-001042,MOBILE_APP,0.0,Refund credit
CBS-S30-00038,2026-08-10T09:17:00Z,203195,403201,41364.41,NEFT,BR-000102,NET_BANKING,0.0,Self-transfer
CBS-S30-00039,2026-08-10T09:35:00Z,303198,3189,84399.25,RTGS,BR-019200,NET_BANKING,0.0,Business advance
CBS-S30-00040,2026-08-10T09:51:00Z,403201,203195,87345.15,IMPS,BR-000003,ATM_KIOSK,0.0,Utility payment
