cdr_id,caller_phone,receiver_phone,timestamp,duration_seconds,tower_id,direction,call_type
CDR-S40-00001,+91-9889831693,+91-9889832800,2026-08-10T16:14:00Z,513,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00002,+91-9889832800,+91-9889833907,2026-08-12T01:35:00Z,12,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00003,+91-9889833907,+91-9889835014,2026-08-12T06:33:00Z,498,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00004,+91-9889835014,+91-9889836121,2026-08-11T11:56:00Z,90,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00005,+91-9889836121,+91-9889831693,2026-08-12T22:24:00Z,5,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00006,+91-9889831693,+91-9889832800,2026-08-10T09:01:00Z,2,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00007,+91-9889832800,+91-9889833907,2026-08-12T17:35:00Z,125,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00008,+91-9889833907,+91-9889835014,2026-08-11T07:25:00Z,5,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00009,+91-9889835014,+91-9889836121,2026-08-11T23:20:00Z,253,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00010,+91-9889836121,+91-9889831693,2026-08-12T16:26:00Z,160,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00011,+91-9889831693,+91-9889832800,2026-08-12T07:38:00Z,29,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00012,+91-9889832800,+91-9889833907,2026-08-10T03:36:00Z,7,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00013,+91-9889833907,+91-9889835014,2026-08-11T22:01:00Z,160,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00014,+91-9889835014,+91-9889836121,2026-08-11T18:28:00Z,14,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00015,+91-9889836121,+91-9889831693,2026-08-11T00:52:00Z,240,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00016,+91-9889831693,+91-9889832800,2026-08-12T10:29:00Z,358,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00017,+91-9889832800,+91-9889833907,2026-08-10T01:08:00Z,21,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00018,+91-9889833907,+91-9889835014,2026-08-10T03:57:00Z,24,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00019,+91-9889835014,+91-9889836121,2026-08-12T16:07:00Z,36,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00020,+91-9889836121,+91-9889831693,2026-08-12T12:21:00Z,28,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00021,+91-9889831693,+91-9889832800,2026-08-10T10:56:00Z,72,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00022,+91-9889832800,+91-9889833907,2026-08-10T03:20:00Z,576,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00023,+91-9889833907,+91-9889835014,2026-08-11T22:35:00Z,22,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00024,+91-9889835014,+91-9889836121,2026-08-12T00:15:00Z,6,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00025,+91-9889836121,+91-9889831693,2026-08-12T04:39:00Z,593,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00026,+91-9889831693,+91-9889832800,2026-08-12T19:36:00Z,20,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00027,+91-9889832800,+91-9889833907,2026-08-10T14:29:00Z,137,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00028,+91-9889833907,+91-9889835014,2026-08-12T00:00:00Z,19,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00029,+91-9889835014,+91-9889836121,2026-08-11T12:50:00Z,29,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00030,+91-9889836121,+91-9889831693,2026-08-12T13:34:00Z,5,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00031,+91-9889831693,+91-9889832800,2026-08-10T04:58:00Z,116,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00032,+91-9889832800,+91-9889833907,2026-08-10T11:04:00Z,8,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00033,+91-9889833907,+91-9889835014,2026-08-10T15:12:00Z,416,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00034,+91-9889835014,+91-9889836121,2026-08-12T18:27:00Z,267,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00035,+91-9889836121,+91-9889831693,2026-08-10T14:30:00Z,18,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00036,+91-9889831693,+91-9889832800,2026-08-11T03:32:00Z,28,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00037,+91-9889832800,+91-9889833907,2026-08-10T20:06:00Z,88,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00038,+91-9889833907,+91-9889835014,2026-08-12T12:53:00Z,1,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00039,+91-9889835014,+91-9889836121,2026-08-10T09:51:00Z,53,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00040,+91-9889836121,+91-9889831693,2026-08-12T09:25:00Z,292,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00041,+91-9889831693,+91-9889832800,2026-08-12T06:02:00Z,23,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00042,+91-9889832800,+91-9889833907,2026-08-10T15:15:00Z,12,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00043,+91-9889833907,+91-9889835014,2026-08-10T04:11:00Z,267,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00044,+91-9889835014,+91-9889836121,2026-08-10T15:45:00Z,19,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00045,+91-9889836121,+91-9889831693,2026-08-12T03:39:00Z,318,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00046,+91-9889831693,+91-9889832800,2026-08-12T00:24:00Z,588,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00047,+91-9889832800,+91-9889833907,2026-08-10T18:12:00Z,18,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00048,+91-9889833907,+91-9889835014,2026-08-11T09:43:00Z,12,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00049,+91-9889835014,+91-9889836121,2026-08-12T19:27:00Z,394,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00050,+91-9889836121,+91-9889831693,2026-08-11T23:15:00Z,25,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00051,+91-9889831693,+91-9889832800,2026-08-10T00:00:00Z,480,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00052,+91-9889832800,+91-9889833907,2026-08-10T09:22:00Z,585,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00053,+91-9889833907,+91-9889835014,2026-08-12T18:26:00Z,25,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00054,+91-9889835014,+91-9889836121,2026-08-11T08:06:00Z,22,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00055,+91-9889836121,+91-9889831693,2026-08-10T21:50:00Z,297,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00056,+91-9889831693,+91-9889832800,2026-08-10T20:45:00Z,8,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00057,+91-9889832800,+91-9889833907,2026-08-11T05:53:00Z,195,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00058,+91-9889833907,+91-9889835014,2026-08-10T02:55:00Z,524,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00059,+91-9889835014,+91-9889836121,2026-08-11T07:10:00Z,9,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00060,+91-9889836121,+91-9889831693,2026-08-10T15:47:00Z,23,TOWER-DL-RC-102,INCOMING,DATA
CDR-S40-00061,+91-9889831693,+91-9889832800,2026-08-11T22:14:00Z,281,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S40-00062,+91-9889832800,+91-9889833907,2026-08-10T06:18:00Z,3,TOWER-HR-KD-201,INCOMING,SMS
CDR-S40-00063,+91-9889833907,+91-9889835014,2026-08-11T13:43:00Z,136,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S40-00064,+91-9889835014,+91-9889836121,2026-08-11T02:17:00Z,298,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S40-00065,+91-9889836121,+91-9889831693,2026-08-10T22:51:00Z,13,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S40-00066,+91-9889831693,+91-9889832800,2026-08-11T15:41:00Z,26,TOWER-DL-RC-102,INCOMING,DATA
