cdr_id,caller_phone,receiver_phone,timestamp,duration_seconds,tower_id,direction,call_type
CDR-S55-00001,+91-9809218193,+91-9809219300,2026-08-19T04:02:00Z,461,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S55-00002,+91-9809219300,+91-9809220407,2026-08-18T04:46:00Z,22,TOWER-HR-KD-201,INCOMING,SMS
CDR-S55-00003,+91-9809220407,+91-9809221514,2026-08-19T03:48:00Z,414,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S55-00004,+91-9809221514,+91-9809218193,2026-08-18T05:29:00Z,42,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S55-00005,+91-9809218193,+91-9809219300,2026-08-18T20:08:00Z,21,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S55-00006,+91-9809219300,+91-9809220407,2026-08-19T02:32:00Z,5,TOWER-DL-RC-102,INCOMING,DATA
CDR-S55-00007,+91-9809220407,+91-9809221514,2026-08-19T12:53:00Z,372,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S55-00008,+91-9809221514,+91-9809218193,2026-08-20T02:45:00Z,25,TOWER-HR-KD-201,INCOMING,SMS
CDR-S55-00009,+91-9809218193,+91-9809219300,2026-08-20T17:27:00Z,414,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S55-00010,+91-9809219300,+91-9809220407,2026-08-20T14:52:00Z,41,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S55-00011,+91-9809220407,+91-9809221514,2026-08-20T04:13:00Z,26,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S55-00012,+91-9809221514,+91-9809218193,2026-08-20T01:57:00Z,11,TOWER-DL-RC-102,INCOMING,DATA
CDR-S55-00013,+91-9809218193,+91-9809219300,2026-08-20T13:33:00Z,544,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S55-00014,+91-9809219300,+91-9809220407,2026-08-20T09:54:00Z,20,TOWER-HR-KD-201,INCOMING,SMS
CDR-S55-00015,+91-9809220407,+91-9809221514,2026-08-20T19:19:00Z,264,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S55-00016,+91-9809221514,+91-9809218193,2026-08-18T05:50:00Z,190,TOWER-DL-DW-405,INCOMING,VOICE
