transaction_id,timestamp,source_account,destination_account,amount,transaction_type,branch_id,channel,balance_after,reference_text
CBS-S66-00001,2026-08-22T07:02:00Z,3789,3789,93263.26,UPI,BR-001042,MOBILE_APP,6736.740000000005,Online payment
CBS-S66-00002,2026-08-22T07:24:00Z,103792,103792,23885.47,NEFT,BR-000240,NET_BANKING,76114.53,Invoice settlement
CBS-S66-00003,2026-08-22T07:34:00Z,3789,3789,99491.19,RTGS,BR-001042,NET_BANKING,0.0,Salary credit
CBS-S66-00004,2026-08-22T07:52:00Z,103792,103792,22479.74,IMPS,BR-000240,ATM_KIOSK,53634.78999999999,UPI transfer
CBS-S66-00005,2026-08-22T08:03:00Z,3789,3789,20739.55,ATM,BR-001042,ATM_KIOSK,0.0,Vendor payment
CBS-S66-00006,2026-08-22T08:17:00Z,103792,103792,73310.79,CHEQUE,BR-000240,ATM_KIOSK,0.0,EMI debit
CBS-S66-00007,2026-08-22T08:35:00Z,3789,3789,71638.6,UPI,BR-001042,MOBILE_APP,0.0,Refund credit
CBS-S66-00008,2026-08-22T08:47:00Z,103792,103792,11799.49,NEFT,BR-000240,NET_BANKING,0.0,Self-transfer
CBS-S66-00009,2026-08-22T09:04:00Z,3789,3789,39800.28,RTGS,BR-001042,NET_BANKING,0.0,Business advance
CBS-S66-00010,2026-08-22T09:23:00Z,103792,103792,67509.14,IMPS,BR-000240,ATM_KIOSK,0.0,Utility payment
CBS-S66-00011,2026-08-22T09:37:00Z,3789,3789,78199.56,ATM,BR-001042,ATM_KIOSK,0.0,Online payment
CBS-S66-00012,2026-08-22T09:45:00Z,103792,103792,81026.3,CHEQUE,BR-000240,ATM_KIOSK,0.0,Invoice settlement
CBS-S66-00013,2026-08-22T10:10:00Z,3789,3789,95856.68,UPI,BR-001042,MOBILE_APP,0.0,Salary credit
CBS-S66-00014,2026-08-22T10:20:00Z,103792,103792,2471.73,NEFT,BR-000240,NET_BANKING,0.0,UPI transfer
CBS-S66-00015,2026-08-22T10:34:00Z,3789,3789,17764.63,RTGS,BR-001042,NET_BANKING,0.0,Vendor payment
CBS-S66-00016,2026-08-22T10:55:00Z,103792,103792,85019.95,IMPS,BR-000240,ATM_KIOSK,0.0,EMI debit
